,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
2245,https://www.immowelt.de/expose/2e4he5k,2e4he5k,72965-487,house,Nutzen Sie die neue KFN Förderung und realisieren auf schönem Schönerlinder Grundstück mit dem  Clou 128.1 Doppelhaus!,Schönerlinde/ Wandlitz,Straße nicht freigegeben,16348,blank,blank,Gewerblicher Anbieter,4,123 m²,333 m²,460.090 €,blank,Luft-/Wasser-Wärmepumpe,blank,blank,blank,blank,blank,blank,RENSCH-HAUS GMBH,blank,Doppelhaushälfte,2025,brandenburg,2024-06-16 11:17:49
2246,https://www.immowelt.de/expose/2erge5k,2erge5k,72965-485,house,"Nutzen Sie die KFN Förderung z.B. für ein traumhaftes neues Wochenenddomizil, in Trebbin.",Trebbin(Klein Schulzendorf),Straße nicht freigegeben,14959,blank,blank,Gewerblicher Anbieter,3,111 m²,937 m²,623.859 €,blank,Luft-/Wasser-Wärmepumpe,blank,blank,blank,blank,blank,blank,RENSCH-HAUS GMBH,blank,Bungalow,2025,brandenburg,2024-06-16 11:17:52
2247,https://www.immowelt.de/expose/2ekkc5k,2ekkc5k,blank,house,Idyllisches Wassergrundstück mit eigener Badestelle am Tiefen See,Heidesee(Prieros),Straße nicht freigegeben,15754,1930,blank,blank,4,100 m²,2.124 m²,auf Anfrage,blank,"Ofen, Zentralheizung",blank,blank,blank,blank,blank,blank,Privater Anbieter,blank,Einfamilienhaus,blank,brandenburg,2024-06-16 11:17:55
2248,https://www.immowelt.de/expose/2esgr5q,2esgr5q,B-OE0073,house,"Leben weg von der Großstadt !Einfamilienhaus  5 Zimmern auf 133m², großer Photovoltaik-Anlage, Wintergarten und ca. 591 m² Grundstück.",Groß Kreutz / Götz,Straße nicht freigegeben,14550,1997,blank,Gewerblicher Anbieter,5,133 m²,591 m²,425.000 €,blank,Zentralheizung,blank,blank,blank,blank,blank,blank,IAD Immobilien Agentur Deutschland GmbH,gepflegt,Einfamilienhaus,blank,brandenburg,2024-06-16 11:17:57
2249,https://www.immowelt.de/expose/2e9ae5m,2e9ae5m,B-OE0056M,house,Sonderangebot in Groß Kreutz  Bauernhof viel Potential für Ihre Zukunftspläne.  Gestalten Sie auf 210m² mit 9 Zimmern und 2.874m²  Ihr Zuhause,Groß Kreutz(Deetz),Straße nicht freigegeben,14550,1895,blank,Gewerblicher Anbieter,9,210 m²,2.874 m²,499.000 €,blank,Etagenheizung,F,Wohngebäude,Bedarfsausweis,bis 20.04.2033,"190,30 kWh/(m²·a)",GAS,IAD Immobilien Agentur Deutschland GmbH,renovierungsbedürftig / sanierungsbedürftig,Mehrfamilienhaus,sofort,brandenburg,2024-06-16 11:18:00
2250,https://www.immowelt.de/expose/2e63c5k,2e63c5k,64485,house,Ihr neues Eigenheim in Grünlage mit perfekten Strukturen!,Hoppegarten(Hönow),Straße nicht freigegeben,15366,1997,blank,Gewerblicher Anbieter,5,104 m²,102 m²,399.000 €,Fernwärme,blank,blank,blank,blank,blank,blank,blank,Sanssouci Immobilien Steinmann & Gröschel GbR,"Altbau (bis 1945), gepflegt",Reihenmittelhaus,nach Vereinbarung,brandenburg,2024-06-16 11:18:03
2251,https://www.immowelt.de/expose/2e4lb5k,2e4lb5k,eh96XXXr-AUZ-1#CpVJzy,house,Einfamilienhaus mit großem Grundstück und Pool,Falkensee,Straße nicht freigegeben,14612,2007,blank,Gewerblicher Anbieter,"5,5",155 m²,850 m²,725.000 €,blank,Zentralheizung,B,Wohngebäude,Bedarfsausweis,14.04.2024 bis 15.04.2034,"58,00 kWh/(m²·a)",Gas,Inseriert auf 123provisionsfrei.de,blank,Einfamilienhaus,blank,brandenburg,2024-06-16 11:18:06
2252,https://www.immowelt.de/expose/2el3b5k,2el3b5k,20240502,house,Vermietetes Zweifamilienhaus im Norden von Berlin,Mühlenbecker Land,Straße nicht freigegeben,16567,1950,blank,Gewerblicher Anbieter,8,"225,30 m²",694 m²,392.000 €,blank,"Fußbodenheizung, Zentralheizung",D,Wohngebäude,Verbrauchsausweis,seit 03.02.2024,"109,11 kWh/(m²·a)",Gas,Immobilien-Steinbock,gepflegt,Mehrfamilienhaus,blank,brandenburg,2024-06-16 11:18:08
2253,https://www.immowelt.de/expose/2esya5k,2esya5k,20240501,house,Vermietetes Zweifamilienhaus im Norden von Berlin,Mühlenbecker Land,Straße nicht freigegeben,16567,1950,blank,Gewerblicher Anbieter,8,"225,30 m²",694 m²,392.000 €,blank,"Fußbodenheizung, Zentralheizung",D,Wohngebäude,Verbrauchsausweis,seit 03.02.2024,"109,11 kWh/(m²·a)",Gas,Immobilien-Steinbock,blank,Mehrfamilienhaus,blank,brandenburg,2024-06-16 11:18:11
2254,https://www.immowelt.de/expose/2eyga5k,2eyga5k,Wand_Thäl_C,house,Dieses Grundstück könnte der perfekte Standort für Ihr neues Eigenheim werden!,Wandlitz,Straße nicht freigegeben,16348,blank,blank,Gewerblicher Anbieter,5,132 m²,650 m²,489.916 €,blank,Luft-/Wasser-Wärmepumpe,blank,blank,blank,blank,blank,blank,Purfürst Immobilien,Erstbezug,Einfamilienhaus,blank,brandenburg,2024-06-16 11:18:14
2255,https://www.immowelt.de/expose/2en8a5k,2en8a5k,24068020,house,Gemütliches Einfamilienhaus mit liebevoll angelegtem Garten in beliebter Lage,Dahlwitz-Hoppegarten(Waldesruh),Straße nicht freigegeben,15366,1931,blank,Gewerblicher Anbieter,3,"77,66 m²",440 m²,355.000 €,blank,"offener Kamin, Zentralheizung",H,Wohngebäude,Bedarfsausweis,bis 23.05.2034,"335,30 kWh/(m²·a)",GAS,VON POLL IMMOBILIEN Berlin - Treptow-Köpenick - Immobilienträume Berlin Süd-Ost GmbH,renovierungsbedürftig / sanierungsbedürftig,Einfamilienhaus,blank,brandenburg,2024-06-16 11:18:19
2256,https://www.immowelt.de/expose/2e4z95k,2e4z95k,299599,house,"Einfamilienhaus mit Garage, 2000m² Grundstück, Stall, Werkstatt",Uckerland(Kutzerow),Kutzerow 26a,17337,1980,blank,Gewerblicher Anbieter,5,96 m²,2.179 m²,200.000 €,blank,Zentralheizung,G,Wohngebäude,Verbrauchsausweis,blank,"212,00 kWh/(m²·a)",blank,ohne-makler.net - Immobilien selbst vermarkten,renovierungsbedürftig / sanierungsbedürftig,Einfamilienhaus,sofort,brandenburg,2024-06-16 11:18:22
2257,https://www.immowelt.de/expose/2ew795k,2ew795k,blank,house,"Einfamilienhaus mit Sonnenterrasse, Garten, Gästehaus, Erdwärme...",Hohen Neuendorf,Straße nicht freigegeben,16540,2013,blank,Gewerblicher Anbieter,5,180 m²,1.010 m²,975.000 €,blank,Fußbodenheizung,A+,Wohngebäude,Verbrauchsausweis,06.09.2023 bis 06.09.2033,"15,50 kWh/(m²·a)",Erdwärme,Lutz Ruff e.K.,blank,Einfamilienhaus,nach Absprache,brandenburg,2024-06-16 11:18:25
