,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
557,https://www.immowelt.de/expose/2dpe85n,2dpe85n,"Stauffenbergallee 44,45 WE 42",apartment,Familienfreundliche 4-Zi.-Wohnung in Altstadtnähe,Erfurt(Krämpfervorstadt),Straße nicht freigegeben,99085,1980,5. Geschoss,Gewerblicher Anbieter,4,"96,31 m²",blank,237.000 €,blank,blank,D,Wohngebäude,Verbrauchsausweis,19.01.2024 bis 19.01.2034,"110,40 kWh/(m²·a)  - Warmwasser enthalten",Erdgas leicht,Marko Künne Immobilien,renoviert / saniert,blank,nach Vereinbarung,thueringen,2024-06-16 17:09:17
558,https://www.immowelt.de/expose/2d8su5m,2d8su5m,3751217,apartment,BEZUGSFREIE Wohnung 1.OG Stadthaus am Südpark-Löbervorstadt/ Steigerwald  -provisionsfrei-,Erfurt(Daberstedt),Straße nicht freigegeben,99096,1926,1. Geschoss,Gewerblicher Anbieter,3,"89,80 m²",blank,298.000 €,blank,Zentralheizung,C,Wohngebäude,Bedarfsausweis,31.03.2023 bis 31.03.2033,"91,20 kWh/(m²·a)",Öl,Koch WertInvest GmbH,gepflegt,blank,bezugsfrei,thueringen,2024-06-16 17:09:20
559,https://www.immowelt.de/expose/2d8ru5m,2d8ru5m,3751216,apartment,BEZUGSFREIE Wohnung HP Stadthaus am Südpark-Löbervorstadt/ Steigerwald  -provisionsfrei-,Erfurt(Daberstedt),Straße nicht freigegeben,99096,1926,Erdgeschoss,Gewerblicher Anbieter,3,"89,78 m²",blank,296.000 €,blank,blank,C,Wohngebäude,Bedarfsausweis,31.03.2023 bis 31.03.2033,"91,20 kWh/(m²·a)",Öl,Koch WertInvest GmbH,gepflegt,blank,bezugsfrei,thueringen,2024-06-16 17:09:23
560,https://www.immowelt.de/expose/2d28g5z,2d28g5z,24 124 115a,apartment,Zweitbezug nach Modernisierung * Hochwertige Maisonettewohnung hinter dem Petersberg,Erfurt(Andreasvorstadt),Straße nicht freigegeben,99092,1918,3. Geschoss,Gewerblicher Anbieter,3,100 m²,blank,399.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,bis 09.04.2028,"122,10 kWh/(m²·a)  - Warmwasser enthalten",blank,VON POLL IMMOBILIEN Erfurt - Ethon Immobilien GmbH,blank,Maisonette,blank,thueringen,2024-06-16 17:09:25
561,https://www.immowelt.de/expose/2es655a,2es655a,I-00Y0DM-W-02UG9I,apartment,Schicke Stadtwohnung mit Dachterrasse und Balkon,Erfurt(Altstadt),Straße nicht freigegeben,99084,2003,2. Geschoss,Gewerblicher Anbieter,3,96 m²,blank,370.000 €,blank,Fußbodenheizung,C,Wohngebäude,Verbrauchsausweis,seit 20.06.2018,"84,20 kWh/(m²·a)",blank,EV Immobilien GmbH Jena Engel & Völkers Erfurt,blank,blank,nach Vereinbarung,thueringen,2024-06-16 17:09:28
562,https://www.immowelt.de/expose/2ee7s5e,2ee7s5e,6841-000024,apartment,Mit herrlichem Weitblick!,Leinefelde-Worbis,Straße nicht freigegeben,37339,1989,5. Geschoss (Dachgeschoss),Gewerblicher Anbieter,3,63 m²,blank,65.000 €,blank,blank,B,Wohngebäude,Verbrauchsausweis,12.06.2018 bis 12.06.2028,"70,00 kWh/(m²·a)",Fernwärme,Kreissparkasse Eichsfeld S-Immobilienzentrum,gepflegt,blank,blank,thueringen,2024-06-16 17:09:31
563,https://www.immowelt.de/expose/2eank59,2eank59,1281,apartment,Wir lösen Ihre Wohnungsfrage - Erstbezug in Porstendorf,Neuengönna/Porstendorf,Straße nicht freigegeben,07778,2022,blank,Gewerblicher Anbieter,4,"133,78 m²",blank,495.000 €,blank,blank,A+,Wohngebäude,Bedarfsausweis,bis 29.03.2033,"21,50 kWh/(m²·a)",ELEKTRO,Volksbank eG Gera • Jena • Rudolstadt,blank,blank,blank,thueringen,2024-06-16 17:09:34
564,https://www.immowelt.de/expose/2drxk5l,2drxk5l,6831-000249,apartment,***Kapitalanleger aufgepasst - vermietete Etagenwohnung in beliebter Wohnlage von Arnstadt!***,Arnstadt,Straße nicht freigegeben,99310,1920,blank,Gewerblicher Anbieter,4,"86,19 m²",blank,140.000 €,blank,"Fußbodenheizung, Zentralheizung",D,Wohngebäude,Verbrauchsausweis,25.11.2018 bis 24.11.2028,"125,50 kWh/(m²·a)",Gas,Sparkassen-Immobilien-Vermittlungs-GmbH,gepflegt,blank,blank,thueringen,2024-06-16 17:09:37
565,https://www.immowelt.de/expose/2ehq758,2ehq758,6831-000248,apartment,***Kapitalanleger aufgepasst - vermietete Dachgeschosswohnung in beliebter Wohnlage von Arnstadt!***,Arnstadt,Straße nicht freigegeben,99310,1920,blank,Gewerblicher Anbieter,3,"75,40 m²",blank,125.000 €,blank,"Fußbodenheizung, Zentralheizung",D,Wohngebäude,Verbrauchsausweis,25.11.2018 bis 24.11.2028,"125,50 kWh/(m²·a)",Gas,Sparkassen-Immobilien-Vermittlungs-GmbH,gepflegt,blank,n.V.,thueringen,2024-06-16 17:09:40
566,https://www.immowelt.de/expose/2efq758,2efq758,6831-000233,apartment,***Kapitalanleger aufgepasst - vermietete Etagenwohnung in beliebter Wohnlage von Arnstadt!***,Arnstadt,Straße nicht freigegeben,99310,1920,blank,Gewerblicher Anbieter,4,"86,19 m²",blank,140.000 €,blank,"Fußbodenheizung, Zentralheizung",D,Wohngebäude,Verbrauchsausweis,25.11.2018 bis 24.11.2028,"125,50 kWh/(m²·a)",Gas,Sparkassen-Immobilien-Vermittlungs-GmbH,gepflegt,blank,n.V.,thueringen,2024-06-16 17:09:43
